"Reference","Value","Qty","Mouser URL","Mouser Nr.","Datasheet","Footprint","DNP"
"C1,C2,C3,C4","100n","4","","","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D13,D14","TZMC47","12"," 78-TZMC47 ","","~","Diode_SMD:D_MiniMELF",""
"D11,D12","LED_Y","2","","","~","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"J1","VDD","1","","","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"J2","GND","1","","","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"J3","Tube Conn","1","","","~","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical",""
"J4","LED","1","","","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"J5","HT","1","","","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"R1,R2,R3,R4,R5,R12","47k","6",""," 603-AC0805FR-1347KL ","~","Resistor_SMD:R_0805_2012Metric",""
"R6,R7,R8,R9","18k7","4",""," 603-RC1206FR-0718K7L ","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"R10,R11","4k7","2",""," 603-RC0805FR-074K7P ","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"U1,U2,U3,U4,U5,U14","SN75468","6","https://www.mouser.de/ProductDetail/Texas-Instruments/SN75468DR?qs=o4busQjUnQYJjs5DwORJyA%3D%3D","595-SN75468DR ","http://www.ti.com/lit/ds/slrs023e/slrs023e.pdf","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm",""
"U6,U7,U8,U9","4028","4",""," 595-CD4028BM96 ","http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4028bms.pdf","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm",""
"U10","IN-4_0","1","","","https://www.tube-tester.com/sites/nixie/data/in-4/in-4-sh2.htm",".Nixie Tubes:IN-4",""
"U11","IN-4_1","1","","","https://www.tube-tester.com/sites/nixie/data/in-4/in-4-sh2.htm",".Nixie Tubes:IN-4",""
"U12","IN-4_2","1","","","https://www.tube-tester.com/sites/nixie/data/in-4/in-4-sh2.htm",".Nixie Tubes:IN-4",""
"U13","IN-4_3","1","","","https://www.tube-tester.com/sites/nixie/data/in-4/in-4-sh2.htm",".Nixie Tubes:IN-4",""
